"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9585","test_post_inspect_json","tests.api","Thu Nov 06 11:10:57 IST 2025","passed","Thu Nov 06 11:11:06 IST 2025","","test_request_inspection","",""
"","2455","test_status_200","tests.api","Thu Nov 06 11:10:52 IST 2025","passed","Thu Nov 06 11:10:55 IST 2025","","test_get_status","",""
"","2006","test_status_418","tests.api","Thu Nov 06 11:10:55 IST 2025","passed","Thu Nov 06 11:10:57 IST 2025","","test_get_status","",""
"","11383","test_response_formats","tests.api","Thu Nov 06 11:11:06 IST 2025","passed","Thu Nov 06 11:11:17 IST 2025","","test_request_inspection","",""
